item_desc,rating,review_count,item_price,item_link,img_url
"Deco Gear 35"" Curved Ultrawide LED Gaming Monitor 21:9 Aspect Ratio, Crisp 2560 x 1080 Resolution, 16.7 Million Colors, 75 HZ Refresh Rate, 2000:1 Contrast Ratio, (HDMI, DVI, and DP Connections)",4.6 out of 5 stars,103,319.99,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08509659VO79UAH3ZGM&url=%2FDeco-Gear-Curved-Ultrawide-Monitor%2Fdp%2FB07NPT78C6%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dultrawide%2Bmonitor%26qid%3D1598713294%26sr%3D8-1-spons%26psc%3D1&qualifier=1598713294&id=6766989571022690&widgetName=sp_atf,https://m.media-amazon.com/images/I/61gBigSCEWL._AC_UY218_.jpg
"LG 34WN80C-B 34 inch 21:9 Curved UltraWide WQHD IPS Monitor with USB Type-C Connectivity sRGB 99% Color Gamut and HDR10 Compatibility, Black (2019)",4.5 out of 5 stars,639,549.99,https://www.amazon.com/LG-34WN80C-B-inch-Connectivity-Compatibility/dp/B07YGZ7C1K/ref=ice_ac_b_dpb?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-2,https://m.media-amazon.com/images/I/81WBbFOEHwL._AC_UY218_.jpg
"AOC CQ34G2 Super Curved Frameless Gaming Monitor, UltraWide FHD 2560x1080, 1500R VA Panel, 1ms MPRT, 75Hz, FreeSync, Height Adjustable, 3-Yr Zero Dead Pixels",4.6 out of 5 stars,0,309.99,https://www.amazon.com/AOC-CQ34G2-Frameless-UltraWide-Adjustable/dp/B08632C4MS/ref=sr_1_3?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-3,https://m.media-amazon.com/images/I/41+CXFgQwjL._AC_UY218_.jpg
"Sceptre 35 Inch Curved UltraWide 21: 9 LED Creative Monitor QHD 3440x1440 Frameless AMD Freesync HDMI DisplayPort Up to 100Hz, Machine Black 2020 (C355W-3440UN)",4.4 out of 5 stars,355,379.97,https://www.amazon.com/Sceptre-C355W-3440UN-Super-Curved-Ultrawide/dp/B0812DKDD9/ref=sr_1_4?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-4,https://m.media-amazon.com/images/I/71PUwKU2jaL._AC_UY218_.jpg
Highly rated and well-priced products,4.6 out of 5 stars,558,226.99,https://www.amazon.com/LG-29WK600-W-29-UltraWide-21/dp/B078GL93KG/ref=sxin_7_ac_d_pm?ac_md=1-0-VW5kZXIgJDQwMA%3D%3D-ac_d_pm&cv_ct_cx=ultrawide+monitor&dchild=1&keywords=ultrawide+monitor&pd_rd_i=B078GL93KG&pd_rd_r=ccea8cde-0d60-4bfe-a2a3-e4e0c97d3e78&pd_rd_w=qgiw5&pd_rd_wg=vBFcA&pf_rd_p=6fa2c4b2-cf77-4ff1-a22d-406e154f5c4b&pf_rd_r=CE9B1MTQ7SF2QFPM6Z37&psc=1&qid=1598713294&sr=1-1-22d05c05-1231-4126-b7c4-3e7a9c0027d0,https://m.media-amazon.com/images/I/61MgHq9thML._AC_UL320_.jpg
"Sceptre 30-inch Curved Gaming Monitor 21:9 2560x1080 Ultra Wide Ultra Slim HDMI DisplayPort up to 200Hz Build-in Speakers, Metal Black (C305B-200UN)",4.5 out of 5 stars,0,278.99,https://www.amazon.com/Sceptre-30-inch-Curved-Gaming-Monitor/dp/B07TXM7K4T/ref=sr_1_5?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-5,https://m.media-amazon.com/images/I/81Wt3h7-V2L._AC_UY218_.jpg
"LG 29WK600-W 29"" UltraWide 21:9 WFHD (2560 x 1080) IPS Monitor with HDR10 and FreeSync, Black",4.6 out of 5 stars,558,226.99,https://www.amazon.com/LG-29WK600-W-29-UltraWide-21/dp/B078GL93KG/ref=sr_1_6?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-6,https://m.media-amazon.com/images/I/61MgHq9thML._AC_UY218_.jpg
"Sceptre 30-Inch 21: 9 Curved Creative Monitor C305W-2560UN 2560x1080p Ultra Wide Ultra Slim HDMI DisplayPort Up to 85Hz Mprt 1ms FPS-RTS Build-in Speakers, Machine Black 2020",4.5 out of 5 stars,977,228.87,https://www.amazon.com/Sceptre-C305W-2560UN-30-inch-DisplayPort-Build/dp/B07XZNXWGS/ref=sr_1_7?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-7,https://m.media-amazon.com/images/I/51Y90KTb5VL._AC_UY218_.jpg
"LG 29WN600-W 29"" 21:9 UltraWide WFHD IPS HDR1 0 Monitor with FreeSync",4.6 out of 5 stars,380,239.99,https://www.amazon.com/LG-29WN600-W-29-21-UltraWide/dp/B0876DBCBX/ref=sr_1_8?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-8,https://m.media-amazon.com/images/I/91WlgTJfawL._AC_UY218_.jpg
"Alienware NEW Curved 34 Inch WQHD 3440 X 1440 120Hz, NVIDIA G-SYNC, IPS LED Edgelight, Monitor - Lunar Light, AW3420DW",4.7 out of 5 stars,467,1029.99,https://www.amazon.com/Alienware-Curved-NVIDIA-Edgelight-Monitor/dp/B07YLGH9Q5/ref=sr_1_9?dchild=1&keywords=ultrawide+monitor&qid=1598713294&sr=8-9,https://m.media-amazon.com/images/I/71NJAl4Jz0L._AC_UY218_.jpg
